Date,New Prod
2008-04-18,522.0
2008-04-19,442.0
2008-04-20,394.0
2008-04-21,396.0
2008-04-22,380.0
2008-04-23,351.0
2008-04-24,332.0
2008-04-25,518.0
2008-04-26,420.0
2008-04-27,527.0
2008-04-28,397.0
2008-04-29,509.0
2008-04-30,497.0
2008-05-01,461.0
2008-05-02,479.0
2008-05-03,440.0
2008-05-04,342.0
2008-05-05,295.0
2008-05-06,314.0
2008-05-07,334.0
2008-05-08,306.0
2008-05-09,240.0
2008-05-10,249.0
2008-05-11,291.0
2008-05-12,252.0
2008-05-13,265.0
2008-05-14,278.0
2008-05-15,267.0
2008-05-16,266.0
2008-05-17,267.0
2008-05-18,234.0
2008-05-19,259.0
2008-05-20,259.0
2008-05-21,252.0
2008-05-22,241.0
2008-05-23,269.0
2008-05-24,269.0
2008-05-25,219.0
2008-05-26,248.0
2008-05-27,235.0
2008-05-28,225.0
2008-05-29,223.0
2008-05-30,235.0
2008-05-31,218.0
2008-06-01,220.0
2008-06-02,180.0
2008-06-03,200.0
2008-06-04,169.0
2008-06-05,146.0
2008-06-06,95.0
2008-06-07,24.0
2008-06-08,1.0
2008-06-09,0.0
2008-06-10,155.0
2008-06-11,63.0
2008-06-12,0.0
2008-06-13,0.0
2008-06-14,0.0
2008-06-15,0.0
2008-06-16,0.0
2008-06-17,0.0
2008-06-18,0.0
2008-06-19,50.0
2008-06-20,220.0
2008-06-21,212.0
2008-06-22,182.0
2008-06-23,225.0
2008-06-24,263.0
2008-06-25,270.0
2008-06-26,315.0
2008-06-27,317.0
2008-06-28,339.0
2008-06-29,309.0
2008-06-30,315.0
2008-07-01,326.0
2008-07-02,322.0
2008-07-03,297.0
2008-07-04,302.0
2008-07-05,253.0
2008-07-06,222.0
2008-07-07,249.0
2008-07-08,276.0
2008-07-09,265.0
2008-07-10,240.0
2008-07-11,275.0
2008-07-12,263.0
2008-07-13,257.0
2008-07-14,286.0
2008-07-15,261.0
2008-07-16,261.0
2008-07-17,264.0
2008-07-18,233.0
2008-07-19,207.0
2008-07-20,172.0
2008-07-21,215.0
2008-07-22,237.0
2008-07-23,235.0
2008-07-24,259.0
2008-07-25,197.0
2008-07-26,244.0
2008-07-27,183.0
2008-07-28,222.0
2008-07-29,226.0
2008-07-30,254.0
2008-07-31,229.0
2008-08-01,210.0
2008-08-02,223.0
2008-08-03,198.0
2008-08-04,218.0
2008-08-05,227.0
2008-08-06,777.0
2008-08-07,350.0
2008-08-08,238.0
2008-08-09,228.0
2008-08-10,220.0
2008-08-11,208.0
2008-08-12,219.0
2008-08-13,589.0
2008-08-14,734.0
2008-08-15,410.0
2008-08-16,542.0
2008-08-17,554.0
2008-08-18,550.0
2008-08-19,634.0
2008-08-20,663.0
2008-08-21,664.0
2008-08-22,658.0
2008-08-23,650.0
